Kasus_ID,Specialty,Dataset,Mode,P_original,P_masked,Delta_P,Masked_Tokens
CASE_001,Consult - History and Phy.,A_CLEAN,BASELINE,0.329058,0.179723,0.149336,"[',', '.,', ':,', 'PLAN', 'IVE']"
CASE_001,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.232038,0.144156,0.087883,"[',', ':,', '.,', 'PLAN', 'IVE']"
CASE_001,Consult - History and Phy.,B_NOISY,BASELINE,0.663038,0.709377,-0.04634,"[' don', ' don', 'Hi', ' um', '.']"
CASE_001,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.780345,0.690508,0.089837,"[' don', ' don', 'Hi', '.', ' um']"
CASE_002,Consult - History and Phy.,A_CLEAN,BASELINE,0.578954,0.257772,0.321182,"[',', 'PLAN', ' Peripheral', ',', ':,']"
CASE_002,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.402387,0.187116,0.215271,"[',', 'PLAN', ',', ' Peripheral', '.,']"
CASE_002,Consult - History and Phy.,B_NOISY,BASELINE,0.678642,0.662164,0.016477,"[' don', 'Doctor', ' machines', '?', ' Wait']"
CASE_002,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.713672,0.615145,0.098527,"[' don', 'Doctor', ' machines', '?', ' Wait']"
CASE_003,Consult - History and Phy.,A_CLEAN,BASELINE,0.914145,0.409993,0.504152,"[' of', ' history', ' has', ' a', ' patient']"
CASE_003,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.795822,0.303199,0.492623,"[' of', ' history', ' has', ' a', ' whether']"
CASE_003,Consult - History and Phy.,B_NOISY,BASELINE,0.761408,0.780979,-0.019571,"[' don', 'Doc', '?', ' aren', '.']"
CASE_003,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.807469,0.744748,0.06272,"[' don', 'Doc', ' aren', '?', '.']"
CASE_004,Consult - History and Phy.,A_CLEAN,BASELINE,0.422751,0.315106,0.107645,"[',', ',', ' Jaw', ':,', ' Jaw']"
CASE_004,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.311052,0.230019,0.081033,"[',', ':,', '.,', '.,', ' Jaw']"
CASE_004,Consult - History and Phy.,B_NOISY,BASELINE,0.693001,0.561664,0.131337,"[' don', ' wasn', 'Doc', ' don', ' Oh']"
CASE_004,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.769151,0.543059,0.226092,"[' don', ' wasn', 'Doc', ' don', ' Is']"
CASE_005,Consult - History and Phy.,A_CLEAN,BASELINE,0.154204,0.073036,0.081168,"['utory', ':,', '.,', '-contrib', ' systems']"
CASE_005,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.120818,0.099544,0.021275,"['utory', ':,', '.,', '-contrib', ' systems']"
CASE_005,Consult - History and Phy.,B_NOISY,BASELINE,0.642529,0.634363,0.008166,"[' haven', ' don', '?', 'Doctor', ' don']"
CASE_005,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.680399,0.548568,0.131831,"['?', ' haven', 'Doctor', ' don', '?']"
CASE_006,Consult - History and Phy.,A_CLEAN,BASELINE,0.47502,0.070424,0.404596,"[' He', '.', ' was', ' states', ' always']"
CASE_006,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.350099,0.081683,0.268416,"[' He', '.', ' states', ' was', ' always']"
CASE_006,Consult - History and Phy.,B_NOISY,BASELINE,0.652267,0.686698,-0.034432,"['Doc', '.', '?', ' don', ' It']"
CASE_006,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.695547,0.661626,0.033921,"['Doc', '.', ' don', '?', ' It']"
CASE_007,Consult - History and Phy.,A_CLEAN,BASELINE,0.361961,0.309307,0.052654,"[',', '.,', 'A', ',', 'PLAN']"
CASE_007,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.328508,0.211977,0.11653,"[',', '.,', 'F', '.,', '.,']"
CASE_007,Consult - History and Phy.,B_NOISY,BASELINE,0.686712,0.600393,0.086319,"[' doesn', ' don', 'Hi', ' haven', '.']"
CASE_007,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.704045,0.507443,0.196602,"[' doesn', ' don', 'Hi', ' haven', ' So']"
CASE_008,Consult - History and Phy.,A_CLEAN,BASELINE,0.206174,0.1515,0.054674,"[' cells', 'oid', ' fluid', ' air', '.']"
CASE_008,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.296793,0.551531,-0.254738,"[' cells', 'oid', ' air', ' fluid', '.']"
CASE_008,Consult - History and Phy.,B_NOISY,BASELINE,0.637426,0.666869,-0.029443,"[' don', 'Look', '?', ' didn', ' doctor']"
CASE_008,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.739634,0.548794,0.19084,"['Look', ' don', '?', ' doctor', '.']"
CASE_009,Consult - History and Phy.,A_CLEAN,BASELINE,0.367391,0.215527,0.151864,"[',', 'PLAN', 'A', '.,', ',']"
CASE_009,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.287533,0.166483,0.121049,"[',', 'PLAN', '.,', '.,', ',']"
CASE_009,Consult - History and Phy.,B_NOISY,BASELINE,0.467787,0.687474,-0.219687,"[' don', ' wasn', ' don', ' don', ' didn']"
CASE_009,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.779394,0.748593,0.0308,"[' don', ' don', ' didn', ' don', ' haven']"
CASE_010,Consult - History and Phy.,A_CLEAN,BASELINE,0.350463,0.293568,0.056895,"[':,', ':,', 'A', ',', '.,']"
CASE_010,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.273079,0.134814,0.138265,"['.,', ':,', ':,', ',', 'PLAN']"
CASE_010,Consult - History and Phy.,B_NOISY,BASELINE,0.696169,0.725812,-0.029643,"[' don', 'Doctor', '.', '?', ',']"
CASE_010,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.775106,0.659389,0.115717,"[' don', 'Doctor', '.', '?', ' can']"
