Kasus_ID,Faithfulness_Baseline,Faithfulness_TAdaptive
CASE_001,0.91,1.00
CASE_002,1.00,0.50
CASE_003,0.00,0.25
CASE_004,0.71,0.09
CASE_005,0.77,0.43
CASE_006,0.77,0.75
CASE_007,0.91,0.89
CASE_008,0.79,1.00
CASE_009,0.80,0.67
CASE_010,0.89,0.89
CASE_011,0.88,0.90
CASE_012,0.50,0.73
CASE_013,0.54,0.91
CASE_014,0.89,0.60
CASE_015,0.79,0.50
CASE_016,0.40,0.18
CASE_017,1.00,0.50
CASE_018,0.92,1.00
CASE_019,1.00,1.00
CASE_020,0.90,0.92
CASE_021,0.88,0.27
CASE_022,1.00,0.67
CASE_023,0.78,0.80
CASE_024,0.31,0.00
CASE_025,0.80,0.67
CASE_026,0.57,0.56
CASE_027,0.64,0.56
CASE_028,0.71,0.00
CASE_029,1.00,0.73
CASE_030,0.56,0.20
CASE_031,1.00,0.70
CASE_032,0.47,0.80
CASE_033,0.80,0.20
CASE_034,0.73,0.70
CASE_035,0.43,0.53
CASE_036,0.43,0.50
CASE_037,1.00,0.62
CASE_038,0.67,0.00
CASE_039,0.75,0.80
CASE_040,0.60,0.50
CASE_041,0.64,0.92
CASE_042,0.64,0.70
CASE_043,0.83,0.77
CASE_044,0.67,0.27
CASE_045,0.67,0.41
CASE_046,0.73,0.44
CASE_047,0.86,0.43
CASE_048,0.70,0.50
CASE_049,0.90,1.00
CASE_050,0.86,0.57
CASE_051,0.35,0.24
CASE_052,0.60,0.67
CASE_053,0.89,0.00
CASE_054,0.25,1.00
CASE_055,0.88,0.75
CASE_056,0.31,0.14
CASE_057,0.87,0.33
CASE_058,0.43,0.58
CASE_059,0.78,1.00
CASE_060,0.12,0.39
CASE_061,0.38,0.43
CASE_062,0.93,0.45
CASE_063,1.00,0.67
CASE_064,0.86,0.80
CASE_065,0.73,0.42
CASE_066,1.00,0.70
CASE_067,0.60,1.00
CASE_068,1.00,0.25
CASE_069,0.75,0.50
CASE_070,0.31,0.17
CASE_071,0.88,0.73
CASE_072,0.83,0.44
CASE_073,0.91,1.00
CASE_074,0.56,0.00
CASE_075,0.88,1.00
CASE_076,1.00,0.86
CASE_077,0.85,0.62
CASE_078,0.08,0.38
CASE_079,0.90,0.88
CASE_080,0.78,0.78
CASE_081,0.64,0.70
CASE_082,0.57,0.29
CASE_083,0.48,0.32
CASE_084,0.64,1.00
CASE_085,0.91,0.25
CASE_086,0.70,0.67
CASE_087,0.43,0.71
CASE_088,0.93,0.71
CASE_089,0.50,0.41
CASE_090,1.00,0.77
CASE_091,0.83,0.50
CASE_092,0.60,0.80
CASE_093,0.90,0.58
CASE_094,0.93,0.85
CASE_095,0.80,1.00
CASE_096,0.60,0.92
CASE_097,0.58,0.75
CASE_098,1.00,0.50
CASE_099,0.62,0.32
CASE_100,0.87,0.50
CASE_101,0.78,0.67
CASE_102,0.78,1.00
CASE_103,0.88,0.83
CASE_104,0.17,0.71
CASE_105,0.88,0.90
CASE_106,0.30,0.38
CASE_107,0.85,0.00
CASE_108,1.00,0.75
CASE_109,0.67,0.83
CASE_110,0.70,0.00
CASE_111,0.86,0.00
CASE_112,0.92,0.89
CASE_113,0.89,0.82
CASE_114,0.40,0.36
CASE_115,0.82,0.75
CASE_116,0.38,0.89
CASE_117,0.92,0.79
CASE_118,0.89,0.20
CASE_119,0.89,0.57
CASE_120,1.00,0.88
CASE_121,0.50,0.14
CASE_122,0.42,0.62
CASE_123,0.50,0.43
CASE_124,0.70,0.15
CASE_125,0.23,0.35
CASE_126,1.00,0.88
CASE_127,0.78,0.09
CASE_128,0.50,0.44
CASE_129,0.67,0.62
CASE_130,0.88,1.00
CASE_131,0.15,0.27
CASE_132,0.25,0.25
CASE_133,0.88,0.91
CASE_134,0.45,0.67
CASE_135,0.38,0.22
CASE_136,0.60,0.75
CASE_137,0.82,0.88
CASE_138,0.00,0.29
CASE_139,0.50,0.17
CASE_140,0.82,0.10
CASE_141,0.36,0.00
CASE_142,0.33,0.36
CASE_143,0.69,0.60
CASE_144,0.05,0.54
CASE_145,0.59,0.14
CASE_146,0.80,0.67
CASE_147,0.6428571428571429,0.6153846153846154
CASE_148,0.9090909090909091,0.6666666666666666
CASE_149,0.8,0.8
CASE_150,0.5714285714285714,1.0
CASE_151,0.875,0.0
CASE_152,0.8333333333333334,1.0
CASE_153,0.8333333333333334,0.5714285714285714
CASE_154,0.7142857142857143,0.3
CASE_155,0.8571428571428571,0.6666666666666666
CASE_156,0.9166666666666666,0.6666666666666666
CASE_157,0.9090909090909091,0.8571428571428571
CASE_158,0.5555555555555556,0.5714285714285714
CASE_159,0.8,0.6153846153846154
CASE_160,0.8888888888888888,0.5333333333333333
CASE_161,0.6666666666666666,0.8
CASE_162,0.625,0.0
CASE_163,0.8571428571428571,0.8333333333333334
CASE_164,0.8888888888888888,0.8333333333333334
CASE_165,0.9166666666666666,0.8571428571428571
